,0,1
0,AACG,ATA Creativity Global 
1,AACQ,Artius Acquisition Inc. 
2,AACQU,Artius Acquisition Inc. 
3,AACQW,Artius Acquisition Inc. 
4,AAL,"American Airlines Group, Inc. "
5,AAME,Atlantic American Corporation 
6,AAOI,"Applied Optoelectronics, Inc. "
7,AAON,"AAON, Inc. "
8,AAPL,Apple Inc. 
9,AAWW,Atlas Air Worldwide Holdings 
10,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund
11,ABCB,Ameris Bancorp 
12,ABCM,Abcam plc 
13,ABEO,Abeona Therapeutics Inc. 
14,ABIO,"ARCA biopharma, Inc. "
15,ABMD,"ABIOMED, Inc. "
16,ABST,Absolute Software Corporation 
17,ABTX,"Allegiance Bancshares, Inc. "
18,ABUS,Arbutus Biopharma Corporation 
19,ACACU,Acies Acquisition Corp. 
20,ACAD,ACADIA Pharmaceuticals Inc. 
21,ACAM,Acamar Partners Acquisition Corp. 
22,ACAMU,Acamar Partners Acquisition Corp. 
23,ACAMW,Acamar Partners Acquisition Corp. 
24,ACBI,"Atlantic Capital Bancshares, Inc. "
25,ACCD,"Accolade, Inc. "
26,ACER,Acer Therapeutics Inc. 
27,ACET,"Adicet Bio, Inc. "
28,ACEV,ACE Convergence Acquisition Corp. 
29,ACEVU,ACE Convergence Acquisition Corp. 
30,ACEVW,ACE Convergence Acquisition Corp. 
31,ACGL,Arch Capital Group Ltd. 
32,ACGLO,Arch Capital Group Ltd. 
33,ACGLP,Arch Capital Group Ltd. 
34,ACHC,"Acadia Healthcare Company, Inc. "
35,ACHV,"Achieve Life Sciences, Inc.  "
36,ACIA,"Acacia Communications, Inc. "
37,ACIU,AC Immune SA 
38,ACIW,"ACI Worldwide, Inc. "
39,ACLS,"Axcelis Technologies, Inc. "
40,ACMR,"ACM Research, Inc. "
41,ACNB,ACNB Corporation 
42,ACOR,"Acorda Therapeutics, Inc. "
43,ACRS,"Aclaris Therapeutics, Inc. "
44,ACRX,"AcelRx Pharmaceuticals, Inc. "
45,ACST,"Acasti Pharma, Inc. "
46,ACTC,ArcLight Clean Transition Corp. 
47,ACTCU,ArcLight Clean Transition Corp. 
48,ACTCW,ArcLight Clean Transition Corp. 
49,ACTG,Acacia Research Corporation 
50,ACWI,iShares MSCI ACWI Index Fund
51,ADBE,Adobe Inc. 
52,ADES,"Advanced Emissions Solutions, Inc. "
53,ADI,"Analog Devices, Inc. "
54,ADIL,"Adial Pharmaceuticals, Inc "
55,ADILW,"Adial Pharmaceuticals, Inc "
56,ADMA,ADMA Biologics Inc 
57,ADMP,Adamis Pharmaceuticals Corporation 
58,ADMS,"Adamas Pharmaceuticals, Inc. "
59,ADOCU,Edoc Acquisition Corp. 
60,ADP,"Automatic Data Processing, Inc. "
61,ADPT,Adaptive Biotechnologies Corporation 
62,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund
63,ADTN,"ADTRAN, Inc. "
64,ADTX,"ADiTx Therapeutics, Inc. "
65,ADUS,Addus HomeCare Corporation 
66,ADV,Advantage Solutions Inc.  
67,ADVM,"Adverum Biotechnologies, Inc. "
68,ADVWW,Advantage Solutions Inc.  
69,ADXN,Addex Therapeutics Ltd 
70,ADXS,"Advaxis, Inc. "
71,AEGN,Aegion Corp 
72,AEHL,Antelope Enterprise Holdings Limited 
73,AEHR,Aehr Test Systems 
74,AEIS,"Advanced Energy Industries, Inc. "
75,AEMD,"Aethlon Medical, Inc. "
76,AEP,"American Electric Power Company, Inc. "
77,AEPPL,"American Electric Power Company, Inc. "
78,AEPPZ,"American Electric Power Company, Inc. "
79,AERI,"Aerie Pharmaceuticals, Inc. "
80,AESE,"Allied Esports Entertainment, Inc. "
81,AEY,"ADDvantage Technologies Group, Inc. "
82,AEYE,"AudioEye, Inc. "
83,AEZS,Aeterna Zentaris Inc. 
84,AFIB,"Acutus Medical, Inc. "
85,AFIN,"American Finance Trust, Inc. "
86,AFINP,"American Finance Trust, Inc. "
87,AFMD,Affimed N.V. 
88,AFYA,Afya Limited 
89,AGBA,AGBA Acquisition Limited 
90,AGBAR,AGBA Acquisition Limited 
91,AGBAU,AGBA Acquisition Limited 
92,AGBAW,AGBA Acquisition Limited 
93,AGC,Altimeter Growth Corp. 
94,AGCUU,Altimeter Growth Corp. 
95,AGCWW,Altimeter Growth Corp. 
96,AGEN,Agenus Inc. 
97,AGFS,"AgroFresh Solutions, Inc. "
98,AGIO,"Agios Pharmaceuticals, Inc. "
99,AGLE,"Aeglea BioTherapeutics, Inc. "
