,Ticker,Full_name
0,AACG,"['ATA', 'Creativity', 'Global', 'AACG']"
1,AACQ,"['Artius', 'Acquisition', 'Inc.', 'AACQ']"
2,AACQU,"['Artius', 'Acquisition', 'Inc.', 'AACQU']"
3,AACQW,"['Artius', 'Acquisition', 'Inc.', 'AACQW']"
4,AAL,"['American', 'Airlines', 'Group', 'Inc.', 'AAL']"
5,AAME,"['Atlantic', 'American', 'Corporation', 'AAME']"
6,AAOI,"['Applied', 'Optoelectronics', 'Inc.', 'AAOI']"
7,AAON,"['AAON', 'Inc.', 'AAON']"
8,AAPL,"['Apple', 'Inc.', 'AAPL']"
9,AAWW,"['Atlas', 'Air', 'Worldwide', 'Holdings', 'AAWW']"
10,AAXJ,"['iShares', 'MSCI', 'All', 'Country', 'Asia', 'ex', 'Japan', 'Index', 'Fund', 'AAXJ']"
11,ABCB,"['Ameris', 'Bancorp', 'ABCB']"
12,ABCM,"['Abcam', 'plc', 'ABCM']"
13,ABEO,"['Abeona', 'Therapeutics', 'Inc.', 'ABEO']"
14,ABIO,"['ARCA', 'biopharma', 'Inc.', 'ABIO']"
15,ABMD,"['ABIOMED', 'Inc.', 'ABMD']"
16,ABST,"['Absolute', 'Software', 'Corporation', 'ABST']"
17,ABTX,"['Allegiance', 'Bancshares', 'Inc.', 'ABTX']"
18,ABUS,"['Arbutus', 'Biopharma', 'Corporation', 'ABUS']"
19,ACACU,"['Acies', 'Acquisition', 'Corp.', 'ACACU']"
20,ACAD,"['ACADIA', 'Pharmaceuticals', 'Inc.', 'ACAD']"
21,ACAM,"['Acamar', 'Partners', 'Acquisition', 'Corp.', 'ACAM']"
22,ACAMU,"['Acamar', 'Partners', 'Acquisition', 'Corp.', 'ACAMU']"
23,ACAMW,"['Acamar', 'Partners', 'Acquisition', 'Corp.', 'ACAMW']"
24,ACBI,"['Atlantic', 'Capital', 'Bancshares', 'Inc.', 'ACBI']"
25,ACCD,"['Accolade', 'Inc.', 'ACCD']"
26,ACER,"['Acer', 'Therapeutics', 'Inc.', 'ACER']"
27,ACET,"['Adicet', 'Bio', 'Inc.', 'ACET']"
28,ACEV,"['ACE', 'Convergence', 'Acquisition', 'Corp.', 'ACEV']"
29,ACEVU,"['ACE', 'Convergence', 'Acquisition', 'Corp.', 'ACEVU']"
30,ACEVW,"['ACE', 'Convergence', 'Acquisition', 'Corp.', 'ACEVW']"
31,ACGL,"['Arch', 'Capital', 'Group', 'Ltd.', 'ACGL']"
32,ACGLO,"['Arch', 'Capital', 'Group', 'Ltd.', 'ACGLO']"
33,ACGLP,"['Arch', 'Capital', 'Group', 'Ltd.', 'ACGLP']"
34,ACHC,"['Acadia', 'Healthcare', 'Company', 'Inc.', 'ACHC']"
35,ACHV,"['Achieve', 'Life', 'Sciences', 'Inc.', 'ACHV']"
36,ACIA,"['Acacia', 'Communications', 'Inc.', 'ACIA']"
37,ACIU,"['AC', 'Immune', 'SA', 'ACIU']"
38,ACIW,"['ACI', 'Worldwide', 'Inc.', 'ACIW']"
39,ACLS,"['Axcelis', 'Technologies', 'Inc.', 'ACLS']"
40,ACMR,"['ACM', 'Research', 'Inc.', 'ACMR']"
41,ACNB,"['ACNB', 'Corporation', 'ACNB']"
42,ACOR,"['Acorda', 'Therapeutics', 'Inc.', 'ACOR']"
43,ACRS,"['Aclaris', 'Therapeutics', 'Inc.', 'ACRS']"
44,ACRX,"['AcelRx', 'Pharmaceuticals', 'Inc.', 'ACRX']"
45,ACST,"['Acasti', 'Pharma', 'Inc.', 'ACST']"
46,ACTC,"['ArcLight', 'Clean', 'Transition', 'Corp.', 'ACTC']"
47,ACTCU,"['ArcLight', 'Clean', 'Transition', 'Corp.', 'ACTCU']"
48,ACTCW,"['ArcLight', 'Clean', 'Transition', 'Corp.', 'ACTCW']"
49,ACTG,"['Acacia', 'Research', 'Corporation', 'ACTG']"
50,ACWI,"['iShares', 'MSCI', 'ACWI', 'Index', 'Fund', 'ACWI']"
51,ADBE,"['Adobe', 'Inc.', 'ADBE']"
52,ADES,"['Advanced', 'Emissions', 'Solutions', 'Inc.', 'ADES']"
53,ADI,"['Analog', 'Devices', 'Inc.', 'ADI']"
54,ADIL,"['Adial', 'Pharmaceuticals', 'Inc', 'ADIL']"
55,ADILW,"['Adial', 'Pharmaceuticals', 'Inc', 'ADILW']"
56,ADMA,"['ADMA', 'Biologics', 'Inc', 'ADMA']"
57,ADMP,"['Adamis', 'Pharmaceuticals', 'Corporation', 'ADMP']"
58,ADMS,"['Adamas', 'Pharmaceuticals', 'Inc.', 'ADMS']"
59,ADOCU,"['Edoc', 'Acquisition', 'Corp.', 'ADOCU']"
60,ADP,"['Automatic', 'Data', 'Processing', 'Inc.', 'ADP']"
61,ADPT,"['Adaptive', 'Biotechnologies', 'Corporation', 'ADPT']"
