,username,id,date,retweet,likes,text,Symbol,Subjectivity,Polarity,Score
0,IBD_ECarson,1353843150230446087,2021-01-25 23:12:14,1,0,b'EV Stocks Rally Late As Biden To Electrify Federal Fleets  $WKHS $RIDE',"['WKHS', 'RIDE']",0.6,-0.3,Negative
1,IBD_ECarson,1353832808678969344,2021-01-25 22:31:09,0,4,"b'But a lot of growth stocks had some wild swings. A few hot stocks just powered higher while others gave up gains and then rebounded somewhat. Software did not have a good day. Chips were mixed. Cyclicals sold off. ($FCX, $EMN, $CAT  due this week.) (2/'","['FCX', 'EMN', 'CAT']",0.43928571428571433,0.1392857142857143,Positive
2,IBD_ECarson,1353832807265488898,2021-01-25 22:31:08,0,15,"b'Interesting market day, with the Nasdaq up sharply at the open, then reversing for a 1.3% loss before rebounding for a 0.7% gain. Apple and Tesla led the way, with Microsoft, AMD and Facebook all up more than 1%. All five have earnings Tue-Wed. $AAPL $TSLA $MSFT $AMD $FB (1/ '","['AAPL', 'TSLA', 'MSFT', 'AMD', 'FB']",0.5625,0.21875,Positive
3,IBD_ECarson,1353696726750646272,2021-01-25 13:30:24,0,0,"b""    Hard to spot the top until well after the fact. If, say, $APPS fell 7%, is the top? I wouldn't think so. You might not feel confident that even a short-term top has been made until a 20%-30% drop occurs. Part of selling into strength can be psychological. Whatever works for you.""",['APPS'],0.49583333333333335,0.2847222222222222,Positive
4,IBD_ECarson,1353675904594059266,2021-01-25 12:07:40,0,20,"b'Real divergence in futures this morning. Dow futures have turned slightly lower, while Nasdaq futures are up 0.9%, with Apple and Microsoft leading the gains. Huge week of earnings on tap, including $MSFT $AAPL $TSLA $FB $CAT $AMD  '","['MSFT', 'AAPL', 'TSLA', 'FB', 'CAT', 'AMD']",0.45555555555555555,0.1444444444444445,Positive
5,IBD_ECarson,1353489137316229122,2021-01-24 23:45:31,6,31,"b""Futures rise modestly as Apple leads earnings tsunami. It's a big week for the market rally. \n$AAPL $TSLA $AMD $CAT $FB $MSFT ""","['AAPL', 'TSLA', 'AMD', 'CAT', 'FB', 'MSFT']",0.5,0.05,Positive
6,IBD_ECarson,1353334147490541568,2021-01-24 13:29:39,1,11,"b'$TSLA is an amazing product, made possible by not being fixated on ""the numbers"" or financials. '",['TSLA'],0.95,0.30000000000000004,Positive
7,IBD_ECarson,1353175106697105410,2021-01-24 02:57:40,0,0,"b"" $FSLR $NEE $SEDG $RUN $BLNK $GNRC are some green energy plays in whole or part. I don't know which, if any would benefit from Biden green energy proposals. Some ideas he can do on his own but a lot would require Congress to pass legislation.""","['FSLR', 'NEE', 'SEDG', 'RUN', 'BLNK', 'GNRC']",0.5,0.09999999999999999,Positive
10,IBD_ECarson,1353005262509010947,2021-01-23 15:42:46,2,6,b'DoorDash is asset light; $DASH is a heavy asset ',['DASH'],0.6,0.1,Positive
11,IBD_ECarson,1352963542371061761,2021-01-23 12:57:00,0,5,"b""This seems quite high, but what do I know? I do know that  is very good at estimating Tesla sales. Here's a look at U.S. M3/Y sales forecasts, with a link to detailed worldwide tables. $TSLA """,['TSLA'],0.6900000000000001,0.48999999999999994,Positive
13,IBD_ECarson,1352388376607903744,2021-01-21 22:51:29,14,97,"b""Apple, AMD, Intel, Nvidia lead Thursday's big-cap tech rally, but market rally warnings are growing louder, with the Nasdaq increasingly extended.\n\nYou don't have to run inside, but be ready for a storm. \n\n  $AAPL $INTC $AMD $NVDA $ISRG $CSX $IBM ""","['AAPL', 'INTC', 'AMD', 'NVDA', 'ISRG', 'CSX', 'IBM']",0.5,0.2,Positive
14,IBD_ECarson,1352049213589258242,2021-01-21 00:23:47,3,26,"b'Futures rise slightly. Stock market rally fuels six breakouts, but Nasdaq flashes this warning again.  $NFLX $GOOGL $CDNS $DT $TDOC $JD $AAPL $MSFT '","['NFLX', 'GOOGL', 'CDNS', 'DT', 'TDOC', 'JD', 'AAPL', 'MSFT']",0.16666666666666666,-0.16666666666666666,Negative
15,IBD_ECarson,1351986663598112768,2021-01-20 20:15:13,0,0,"b"" There are good reasons to doubt Tesla's accident claims. But set that aside. Ultimately, much like Tesla bulls can point to $TSLA price, Tesla insurance costs *are* very high, which suggests that total claims from accidents/repairs are very high.""",['TSLA'],0.5908,0.2632,Positive
16,IBD_ECarson,1351869694722990086,2021-01-20 12:30:26,0,13,"b'Futures signal Nasdaq set to open at new high. Netflix soars, triggering at least an early buy point. Alibaba jumps as founder Jack Ma resurfaces, also lifting  and Pinduoduo. Keep an eye on $GOOGL and $MRVI.  $NFLX $BBA $PDD $JD '","['GOOGL', 'MRVI', 'NFLX', 'BBA', 'PDD', 'JD']",0.43890909090909086,0.01927272727272728,Positive
17,IBD_ECarson,1351673682314182656,2021-01-19 23:31:33,1,11,"b""Futures rise, led by techs as Netflix flashes buy signal on strong subscriber gains (but $DIS does nicely too AH). Tuesday's stock market rally fueled several breakouts - $QCOM $SNPS $ONEM $MRVI - and offered an aggressive $GOOGL entry.   ""","['DIS', 'QCOM', 'SNPS', 'ONEM', 'MRVI', 'GOOGL']",0.5777777777777778,0.3444444444444444,Positive
18,IBD_ECarson,1351524269654609921,2021-01-19 13:37:50,0,4,"b"" ID.4 is still substantially cheaper than the M3's $37,990. Range is officially lower than the M3, but probably about equal in the real world. In 2022, ID.4 will be *$27,500* (at least while federal credits are available).""","['37', '27']",0.3375,0.07500000000000001,Positive
19,IBD_ECarson,1351518448656924674,2021-01-19 13:14:42,0,1,"b""  I believe the Crozz is essentially what is being sold in Europe, whereas the ID.4 X will have a few different changes.  Not sure what Europe's price is. ID.4 will be $39,995, or $32,495 after tax credit. That's far cheaper than the Model Y AND the Model 3.""","['39', '32']",0.5777777777777777,-0.06999999999999999,Negative
21,IBD_ECarson,1351513540000010243,2021-01-19 12:55:12,0,2,"b""  Also, most automakers still are eligible for the $7,500 tax credit, so they have no incentive to lobby for a rival. Even GM won't begin renewed EV push until tail end of 2021. They'd probably prefer incentives for charging stations, eating away at the SuperCharger moat.""",['7'],0.5,0.5,Positive
22,IBD_ECarson,1351319348305039362,2021-01-19 00:03:33,7,48,b'Futures signal major indexes to hold key levels; Tesla Model Y launches in China.\n $TSLA $NIO $JPM $EMN $QCOM $AAPL $JPM $CDNS $SNPS ',"['TSLA', 'NIO', 'JPM', 'EMN', 'QCOM', 'AAPL', 'JPM', 'CDNS', 'SNPS']",0.75,0.03125,Positive
23,IBD_ECarson,1350519837211062274,2021-01-16 19:06:35,0,0,b' *$PTON barely closed DOWN for the week.',['PTON'],0.19444444444444448,-0.1277777777777778,Negative
24,IBD_ECarson,1350519655937441798,2021-01-16 19:05:52,0,0,"b"" A lot of these stocks had run up a lot. When there's a pullback/correction, growth stocks tend to fall further. $TSLA move looks normal after huge recent gains. $PTON barely closed for the week.""","['TSLA', 'PTON']",0.48,0.09000000000000001,Positive
25,IBD_ECarson,1350516033212174336,2021-01-16 18:51:28,0,12,"b'Also please watch the embedded video in the article.  and I review the recent stock market action, analyze SolarEdge, Yatsen and Repligen and discuss a game plan for investors. $SEDG $YSG $RGEN '","['SEDG', 'YSG', 'RGEN']",0.25,-0.10000000000000002,Negative
26,IBD_ECarson,1350516024903299072,2021-01-16 18:51:26,2,25,"b'After Healthy Pullback, What Investors Should Do Now:\nBiden stimulus buzz may be fading, but the Nasdaq - and Tesla - had healthy pullbacks. \n $TSLA $EMN $QCOM $AAPL $CDNS $SNPS $YSG $JPM '","['TSLA', 'EMN', 'QCOM', 'AAPL', 'CDNS', 'SNPS', 'YSG', 'JPM']",0.5,0.5,Positive
